State,Year,Opera,Composer,City
Lombardy–Venetia,1781,Giannina e Bernadone,Cimarosa,Venice
Lombardy–Venetia,1782,Fra due Litiganti il terzo gode,Sarti,Milan
Lombardy–Venetia,1783,Gli Amanti alla Prova,Caruso,Venice
Lombardy–Venetia,1784,I due supposti Conti ossia Lo Sposo senza Moglie,Cimarosa,Milan
Lombardy–Venetia,1785,La Moglie capricciosa,Gazzaniga,Venice
Lombardy–Venetia,1786,Ariarate,Tarchi,Milan
Lombardy–Venetia,1787,Don Giovanni Tenorio o sia Il Convitato di Pietra,Gazzaniga,Venice
Lombardy–Venetia,1789,La Disfatta di Dario,Giordani,Milan
Lombardy–Venetia,1790,Pimmaglione,Cimadoro,Venice
Lombardy–Venetia,1791,La Morte di Cleopatra,Nasolini,Vicenza
Lombardy–Venetia,1792,Eugenia,Nasolini,Venice
Lombardy–Venetia,1794,La Principessa Filosofa ossia Il Contravveleno,Andreozzi,Venice
Lombardy–Venetia,1811,I Pretendenti delusi,Mosca,Milan
Lombardy–Venetia,1815,Clotilda,Coccia,Venice
Other states,1781,Il Pittor Parigino,Cimarosa,Rome
Other states,1782,La Ballerina amante,Cimarosa,Naples
Other states,1783,Chi dell’ altrui si veste presto si spoglia,Cimarosa,Naples
Other states,1784,Le Vicende d'Amore,P. Guglielmi,Rome
Other states,1785,Enea e Lavinia,P. Guglielmi,Naples
Other states,1786,L'Impresario in Angustie,Cimarosa,Naples
Other states,1787,Il Fanatico burlato,Cimarosa,Naples
Other states,1788,Ifigenia in Aulide,Cherubini,Turin
Other states,1789,I Zingari in Fiera,Paisiello,Naples
Other states,1799,La finta Filosofa,Spontini,Naples
Other states,1802,Gli Americani,Tritto,Naples
Other states,1804,Filandro e Carolina,Gnecco,Rome
Other states,1809,Agnese di Fitz-Henry,Paer,Parma
Other states,1811,"Berenice, Regina d'Armenia",Zingarelli,Rome
Other states,1812,Ciro in Babilonia o sia La Caduta di Baldassarre,Rossini,Ferrara
